,Cluster Label,Cluster freq.,Skill,Skill freq,Category
0,0,47,sql,33,must
1,12,29,javascript,29,avg
2,33,29,project management,21,avg
3,7,28,java,21,avg
4,15,25,mysql,25,avg
5,4,22,html,19,plus
6,3,19,software development,20,plus
7,96,17,spring framework,8,plus
8,13,16,jquery,16,plus
9,18,16,css,17,plus
